TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.022737+00:00,208,3
2024-05-14 14:00:00.023515+00:00,419,9
2024-05-14 14:00:00.023753+00:00,2115,50
2024-05-14 14:00:00.023862+00:00,53,53
2024-05-14 14:00:00.024577+00:00,1840,11
2024-05-14 14:00:00.024594+00:00,2951,195
2024-05-14 14:00:00.050518+00:00,621,34
2024-05-14 14:00:00.051687+00:00,262,42
2024-05-14 14:00:00.055930+00:00,617,36
2024-05-14 14:00:00.056218+00:00,2699,425
2024-05-14 14:00:00.151401+00:00,2533,13
2024-05-14 14:00:00.152410+00:00,275,106
2024-05-14 14:00:00.155338+00:00,240,52
2024-05-14 14:00:00.155536+00:00,2049,180
2024-05-14 14:00:00.156385+00:00,832,10
2024-05-14 14:00:00.156586+00:00,1358,450
2024-05-14 14:00:00.163464+00:00,234,55
2024-05-14 14:00:00.192707+00:00,349,8
2024-05-14 14:00:00.197615+00:00,1702,3
2024-05-14 14:00:00.255228+00:00,2747,370
2024-05-14 14:00:00.255926+00:00,5349,3
2024-05-14 14:00:00.256124+00:00,1834,17
2024-05-14 14:00:00.256294+00:00,3495,576
2024-05-14 14:00:00.256418+00:00,558,17
2024-05-14 14:00:00.259880+00:00,289,52
2024-05-14 14:00:00.260744+00:00,310,46
2024-05-14 14:00:00.261130+00:00,1865,3
2024-05-14 14:00:00.261449+00:00,624,7
2024-05-14 14:00:00.261676+00:00,1510,3
2024-05-14 14:00:00.261837+00:00,451,6
2024-05-14 14:00:00.262969+00:00,5338,770
2024-05-14 14:00:00.263029+00:00,1922,10
2024-05-14 14:00:00.263394+00:00,6394,20
2024-05-14 14:00:00.263671+00:00,552,19
2024-05-14 14:00:00.263846+00:00,668,37
2024-05-14 14:00:00.264340+00:00,2105,112
2024-05-14 14:00:00.294693+00:00,556,21
2024-05-14 14:00:00.301229+00:00,2347,553
2024-05-14 14:00:00.301552+00:00,611,33
2024-05-14 14:00:00.301994+00:00,142,127
2024-05-14 14:00:00.402754+00:00,548,19
2024-05-14 14:00:00.405639+00:00,2773,208
2024-05-14 14:00:00.405768+00:00,596,27
2024-05-14 14:00:00.414300+00:00,1630,72
2024-05-14 14:00:00.443794+00:00,1822,3
2024-05-14 14:00:00.443991+00:00,1235,200
2024-05-14 14:00:00.444356+00:00,1338,51
2024-05-14 14:00:00.446945+00:00,2568,31
2024-05-14 14:00:00.503047+00:00,2468,250
2024-05-14 14:00:00.503648+00:00,244,54
2024-05-14 14:00:00.504878+00:00,377,8
2024-05-14 14:00:00.507041+00:00,115,45
2024-05-14 14:00:00.507339+00:00,1829,219
2024-05-14 14:00:00.507766+00:00,131,51
2024-05-14 14:00:00.507876+00:00,706,20
2024-05-14 14:00:00.545831+00:00,266,48
2024-05-14 14:00:00.545871+00:00,376,50
2024-05-14 14:00:00.548904+00:00,626,9
2024-05-14 14:00:00.650575+00:00,581,10
2024-05-14 14:00:00.652060+00:00,558,24
2024-05-14 14:00:00.652621+00:00,342,59
2024-05-14 14:00:00.652733+00:00,1173,3
2024-05-14 14:00:00.665420+00:00,1851,14
2024-05-14 14:00:00.665600+00:00,4565,397
2024-05-14 14:00:00.666552+00:00,5593,61
2024-05-14 14:00:00.667210+00:00,1822,402
2024-05-14 14:00:00.693421+00:00,554,18
2024-05-14 14:00:00.747564+00:00,1654,10
2024-05-14 14:00:00.748068+00:00,4138,74
2024-05-14 14:00:00.754425+00:00,2415,506
2024-05-14 14:00:00.754710+00:00,3780,598
2024-05-14 14:00:00.754835+00:00,2955,222
2024-05-14 14:00:00.755765+00:00,2221,62
2024-05-14 14:00:00.755782+00:00,404,42
2024-05-14 14:00:00.789357+00:00,558,19
2024-05-14 14:00:00.789670+00:00,752,51
2024-05-14 14:00:00.790687+00:00,554,20
2024-05-14 14:00:00.900389+00:00,427,39
2024-05-14 14:00:00.901301+00:00,2456,201
2024-05-14 14:00:00.914135+00:00,557,45
2024-05-14 14:00:00.915462+00:00,1928,318
2024-05-14 14:00:01.001634+00:00,2301,214
2024-05-14 14:00:01.001804+00:00,93,47
2024-05-14 14:00:01.002672+00:00,2827,19
2024-05-14 14:00:01.002836+00:00,1851,3
2024-05-14 14:00:01.003215+00:00,562,24
2024-05-14 14:00:01.003422+00:00,405,52
2024-05-14 14:00:01.012161+00:00,592,24
2024-05-14 14:00:01.015405+00:00,1603,338
2024-05-14 14:00:01.015733+00:00,705,5
