TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,3322,160
2024-05-14 14:00:00.324647+00:00,416,6
2024-05-14 14:00:00.336317+00:00,838,18
2024-05-14 14:00:00.339887+00:00,4230,100
2024-05-14 14:00:00.341522+00:00,106,106
2024-05-14 14:00:00.352247+00:00,3680,22
2024-05-14 14:00:00.352502+00:00,5902,390
2024-05-14 14:00:00.741362+00:00,1242,68
2024-05-14 14:00:00.758897+00:00,524,84
2024-05-14 14:00:00.822542+00:00,1234,72
2024-05-14 14:00:00.826862+00:00,5398,850
2024-05-14 14:00:02.254607+00:00,5066,26
2024-05-14 14:00:02.269742+00:00,550,212
2024-05-14 14:00:02.313662+00:00,480,104
2024-05-14 14:00:02.316632+00:00,4098,360
2024-05-14 14:00:02.329367+00:00,1664,20
2024-05-14 14:00:02.332382+00:00,2716,900
2024-05-14 14:00:02.435552+00:00,468,110
2024-05-14 14:00:02.874197+00:00,698,16
2024-05-14 14:00:02.947817+00:00,3404,6
2024-05-14 14:00:03.812012+00:00,5494,740
2024-05-14 14:00:03.822482+00:00,10698,6
2024-05-14 14:00:03.825452+00:00,3668,34
2024-05-14 14:00:03.828002+00:00,6990,1152
2024-05-14 14:00:03.829862+00:00,1116,34
2024-05-14 14:00:03.881792+00:00,578,104
2024-05-14 14:00:03.894752+00:00,620,92
2024-05-14 14:00:03.900542+00:00,3730,6
2024-05-14 14:00:03.905327+00:00,1248,14
2024-05-14 14:00:03.908732+00:00,3020,6
2024-05-14 14:00:03.911147+00:00,902,12
2024-05-14 14:00:03.928127+00:00,10676,1540
2024-05-14 14:00:03.929027+00:00,3844,20
2024-05-14 14:00:03.934502+00:00,12788,40
2024-05-14 14:00:03.938657+00:00,1104,38
2024-05-14 14:00:03.941282+00:00,1336,74
2024-05-14 14:00:03.948692+00:00,4210,224
2024-05-14 14:00:04.403987+00:00,1112,42
2024-05-14 14:00:04.502027+00:00,4694,1106
2024-05-14 14:00:04.506872+00:00,1222,66
2024-05-14 14:00:04.513501999+00:00,284,254
2024-05-14 14:00:06.024902+00:00,1096,38
2024-05-14 14:00:06.068176999+00:00,5546,416
2024-05-14 14:00:06.070112+00:00,1192,54
2024-05-14 14:00:06.198092+00:00,3260,144
2024-05-14 14:00:06.640502+00:00,3644,6
2024-05-14 14:00:06.643457+00:00,2470,400
2024-05-14 14:00:06.648932+00:00,2676,102
2024-05-14 14:00:06.687767+00:00,5136,62
2024-05-14 14:00:07.529296999+00:00,4936,500
2024-05-14 14:00:07.538312+00:00,488,108
2024-05-14 14:00:07.556762+00:00,754,16
2024-05-14 14:00:07.589207+00:00,230,90
2024-05-14 14:00:07.593677+00:00,3658,438
2024-05-14 14:00:07.600082+00:00,262,102
2024-05-14 14:00:07.601732+00:00,1412,40
2024-05-14 14:00:08.171057+00:00,532,96
2024-05-14 14:00:08.171657+00:00,752,100
2024-05-14 14:00:08.217152+00:00,1252,18
2024-05-14 14:00:09.742217+00:00,1162,20
2024-05-14 14:00:09.764492+00:00,1116,48
2024-05-14 14:00:09.772907+00:00,684,118
2024-05-14 14:00:09.774587+00:00,2346,6
2024-05-14 14:00:09.964892+00:00,3702,28
2024-05-14 14:00:09.967592+00:00,9130,794
2024-05-14 14:00:09.981872+00:00,11186,122
2024-05-14 14:00:09.991742+00:00,3644,804
2024-05-14 14:00:10.384907+00:00,1108,36
2024-05-14 14:00:11.197052+00:00,3308,20
2024-05-14 14:00:11.204612+00:00,8276,148
2024-05-14 14:00:11.299967+00:00,4830,1012
2024-05-14 14:00:11.304242+00:00,7560,1196
2024-05-14 14:00:11.306117+00:00,5910,444
2024-05-14 14:00:11.320067+00:00,4442,124
2024-05-14 14:00:11.320322+00:00,808,84
2024-05-14 14:00:11.823947+00:00,1116,38
2024-05-14 14:00:11.828642+00:00,1504,102
2024-05-14 14:00:11.843897+00:00,1108,40
2024-05-14 14:00:13.489427+00:00,854,78
2024-05-14 14:00:13.503107+00:00,4912,402
2024-05-14 14:00:13.695617+00:00,1114,90
2024-05-14 14:00:13.715522+00:00,3856,636
2024-05-14 14:00:15.008102+00:00,4602,428
2024-05-14 14:00:15.010652+00:00,186,94
2024-05-14 14:00:15.023672+00:00,5654,38
2024-05-14 14:00:15.026132+00:00,3702,6
2024-05-14 14:00:15.031817+00:00,1124,48
2024-05-14 14:00:15.034922+00:00,810,104
2024-05-14 14:00:15.166007+00:00,1184,48
2024-05-14 14:00:15.214667+00:00,3206,676
2024-05-14 14:00:15.219587+00:00,1410,10
2024-05-14 14:00:15.222212+00:00,1192,42
2024-05-14 14:00:15.223847+00:00,900,78
2024-05-14 14:00:15.236447+00:00,9580,1040
2024-05-14 14:00:15.237197+00:00,1092,82
2024-05-14 14:00:15.314837+00:00,690,10
2024-05-14 14:00:15.737237+00:00,578,92
2024-05-14 14:00:15.752102+00:00,13620,6
2024-05-14 14:00:15.756392+00:00,1496,864
2024-05-14 14:00:15.800102+00:00,4234,518
2024-05-14 14:00:15.801977+00:00,1460,24
2024-05-14 14:00:17.280317+00:00,3704,6
2024-05-14 14:00:17.292722+00:00,1148,32
2024-05-14 14:00:17.381207+00:00,5974,994
2024-05-14 14:00:17.420822+00:00,1194,30
2024-05-14 14:00:17.428232+00:00,2600,112
