TIMESTAMP,ContextTokens,GeneratedTokens
2024-05-14 14:00:00.001172+00:00,1661,80
2024-05-14 14:00:00.432472+00:00,208,3
2024-05-14 14:00:00.448032+00:00,419,9
2024-05-14 14:00:00.452792+00:00,2115,50
2024-05-14 14:00:00.454972+00:00,53,53
2024-05-14 14:00:00.469272+00:00,1840,11
2024-05-14 14:00:00.469612+00:00,2951,195
2024-05-14 14:00:00.988092+00:00,621,34
2024-05-14 14:00:01.011472+00:00,262,42
2024-05-14 14:00:01.096332+00:00,617,36
2024-05-14 14:00:01.102092+00:00,2699,425
2024-05-14 14:00:03.005752+00:00,2533,13
2024-05-14 14:00:03.025932+00:00,275,106
2024-05-14 14:00:03.084492+00:00,240,52
2024-05-14 14:00:03.088452+00:00,2049,180
2024-05-14 14:00:03.105432+00:00,832,10
2024-05-14 14:00:03.109452+00:00,1358,450
2024-05-14 14:00:03.247012+00:00,234,55
2024-05-14 14:00:03.831872+00:00,349,8
2024-05-14 14:00:03.930032+00:00,1702,3
2024-05-14 14:00:05.082292+00:00,2747,370
2024-05-14 14:00:05.096252+00:00,5349,3
2024-05-14 14:00:05.100212+00:00,1834,17
2024-05-14 14:00:05.103612+00:00,3495,576
2024-05-14 14:00:05.106092+00:00,558,17
2024-05-14 14:00:05.175332+00:00,289,52
2024-05-14 14:00:05.192612+00:00,310,46
2024-05-14 14:00:05.200332+00:00,1865,3
2024-05-14 14:00:05.206712+00:00,624,7
2024-05-14 14:00:05.211252+00:00,1510,3
2024-05-14 14:00:05.214472+00:00,451,6
2024-05-14 14:00:05.237112+00:00,5338,770
2024-05-14 14:00:05.238312+00:00,1922,10
2024-05-14 14:00:05.245612+00:00,6394,20
2024-05-14 14:00:05.251152+00:00,552,19
2024-05-14 14:00:05.254651999+00:00,668,37
2024-05-14 14:00:05.264531999+00:00,2105,112
2024-05-14 14:00:05.871592+00:00,556,21
2024-05-14 14:00:06.002312+00:00,2347,553
2024-05-14 14:00:06.008772+00:00,611,33
2024-05-14 14:00:06.017612+00:00,142,127
2024-05-14 14:00:08.032812+00:00,548,19
2024-05-14 14:00:08.090512+00:00,2773,208
2024-05-14 14:00:08.093092+00:00,596,27
2024-05-14 14:00:08.263732+00:00,1630,72
2024-05-14 14:00:08.853612+00:00,1822,3
2024-05-14 14:00:08.857552+00:00,1235,200
2024-05-14 14:00:08.864852+00:00,1338,51
2024-05-14 14:00:08.916632+00:00,2568,31
2024-05-14 14:00:10.038672+00:00,2468,250
2024-05-14 14:00:10.050692+00:00,244,54
2024-05-14 14:00:10.075292+00:00,377,8
2024-05-14 14:00:10.118552+00:00,115,45
2024-05-14 14:00:10.124512+00:00,1829,219
2024-05-14 14:00:10.133052+00:00,131,51
2024-05-14 14:00:10.135252+00:00,706,20
2024-05-14 14:00:10.894352+00:00,266,48
2024-05-14 14:00:10.895152+00:00,376,50
2024-05-14 14:00:10.955812+00:00,626,9
2024-05-14 14:00:12.989232+00:00,581,10
2024-05-14 14:00:13.018932+00:00,558,24
2024-05-14 14:00:13.030152+00:00,342,59
2024-05-14 14:00:13.032392+00:00,1173,3
2024-05-14 14:00:13.286132+00:00,1851,14
2024-05-14 14:00:13.289732+00:00,4565,397
2024-05-14 14:00:13.308772+00:00,5593,61
2024-05-14 14:00:13.321932+00:00,1822,402
2024-05-14 14:00:13.846152+00:00,554,18
2024-05-14 14:00:14.929012+00:00,1654,10
2024-05-14 14:00:14.939092+00:00,4138,74
2024-05-14 14:00:15.066232+00:00,2415,506
2024-05-14 14:00:15.071932+00:00,3780,598
2024-05-14 14:00:15.074432+00:00,2955,222
2024-05-14 14:00:15.093032+00:00,2221,62
2024-05-14 14:00:15.093372+00:00,404,42
2024-05-14 14:00:15.764872+00:00,558,19
2024-05-14 14:00:15.771132+00:00,752,51
2024-05-14 14:00:15.791472+00:00,554,20
2024-05-14 14:00:17.985512+00:00,427,39
2024-05-14 14:00:18.003752+00:00,2456,201
2024-05-14 14:00:18.260432+00:00,557,45
2024-05-14 14:00:18.286972+00:00,1928,318
2024-05-14 14:00:20.010412+00:00,2301,214
2024-05-14 14:00:20.013812+00:00,93,47
2024-05-14 14:00:20.031172+00:00,2827,19
2024-05-14 14:00:20.034451999+00:00,1851,3
2024-05-14 14:00:20.042032+00:00,562,24
2024-05-14 14:00:20.046172+00:00,405,52
2024-05-14 14:00:20.220952+00:00,592,24
2024-05-14 14:00:20.285832+00:00,1603,338
2024-05-14 14:00:20.292392+00:00,705,5
2024-05-14 14:00:20.295892+00:00,596,21
2024-05-14 14:00:20.298072+00:00,450,39
2024-05-14 14:00:20.314872+00:00,4790,520
2024-05-14 14:00:20.315872+00:00,546,41
2024-05-14 14:00:20.419392+00:00,345,5
2024-05-14 14:00:20.982592+00:00,289,46
